Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 3, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 4,194,304
  lm_head                 : 2,097,152
  transformer_matrices    : 2,359,424
  scalars                 : 6
  total                   : 10,748,038
Estimated FLOPs per token: 3.932237e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.011044 | lrm: 1.00 | dt: 24086ms | tok/sec: 21,767 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.089343 | lrm: 1.00 | dt: 466ms | tok/sec: 1,124,806 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.928894 | lrm: 1.00 | dt: 428ms | tok/sec: 1,225,946 | mfu: 4.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.583807 | lrm: 1.00 | dt: 567ms | tok/sec: 924,039 | mfu: 3.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.274641 | lrm: 1.00 | dt: 460ms | tok/sec: 1,138,995 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.003890 | lrm: 1.00 | dt: 461ms | tok/sec: 1,137,371 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.776306 | lrm: 1.00 | dt: 462ms | tok/sec: 1,134,092 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.563563 | lrm: 1.00 | dt: 613ms | tok/sec: 855,348 | mfu: 3.4% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.367335 | lrm: 1.00 | dt: 569ms | tok/sec: 922,051 | mfu: 3.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.180249 | lrm: 1.00 | dt: 474ms | tok/sec: 1,105,724 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.011292 | lrm: 1.00 | dt: 430ms | tok/sec: 1,220,068 | mfu: 4.8% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.862335 | lrm: 1.00 | dt: 449ms | tok/sec: 1,168,649 | mfu: 4.6% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.725455 | lrm: 1.00 | dt: 461ms | tok/sec: 1,138,259 | mfu: 4.5% | epoch: 1 | remaining: 299s    
step 00013 (0.3%) | loss: 6.604217 | lrm: 1.00 | dt: 439ms | tok/sec: 1,195,158 | mfu: 4.7% | epoch: 1 | remaining: 299s    
step 00031 (3.0%) | loss: 5.556935 | lrm: 1.00 | dt: 405ms | tok/sec: 1,294,334 | mfu: 5.1% | epoch: 1 | remaining: 291s    
step 00032 (3.2%) | loss: 5.527574 | lrm: 1.00 | dt: 385ms | tok/sec: 1,361,418 | mfu: 5.4% | epoch: 1 | remaining: 290s    
step 00033 (3.3%) | loss: 5.502125 | lrm: 1.00 | dt: 386ms | tok/sec: 1,359,207 | mfu: 5.4% | epoch: 1 | remaining: 290s    
step 00034 (3.4%) | loss: 5.473045 | lrm: 1.00 | dt: 433ms | tok/sec: 1,212,144 | mfu: 4.8% | epoch: 1 | remaining: 289s    
step 00035 (3.6%) | loss: 5.446662 | lrm: 1.00 | dt: 428ms | tok/sec: 1,225,150 | mfu: 4.9% | epoch: 1 | remaining: 289s    
step 00036 (3.7%) | loss: 5.417038 | lrm: 1.00 | dt: 466ms | tok/sec: 1,125,148 | mfu: 4.5% | epoch: 1 | remaining: 288s    
step 00037 (3.8%) | loss: 5.386309 | lrm: 1.00 | dt: 413ms | tok/sec: 1,268,567 | mfu: 5.0% | epoch: 1 | remaining: 288s    
step 00038 (4.0%) | loss: 5.355757 | lrm: 1.00 | dt: 430ms | tok/sec: 1,219,194 | mfu: 4.8% | epoch: 1 | remaining: 288s    
step 00039 (4.1%) | loss: 5.326727 | lrm: 1.00 | dt: 411ms | tok/sec: 1,274,454 | mfu: 5.1% | epoch: 1 | remaining: 287s    
step 00040 (4.3%) | loss: 5.305566 | lrm: 1.00 | dt: 412ms | tok/sec: 1,271,253 | mfu: 5.1% | epoch: 1 | remaining: 287s    
step 00041 (4.4%) | loss: 5.278073 | lrm: 1.00 | dt: 429ms | tok/sec: 1,221,054 | mfu: 4.9% | epoch: 1 | remaining: 286s    
step 00042 (4.5%) | loss: 5.251588 | lrm: 1.00 | dt: 407ms | tok/sec: 1,288,656 | mfu: 5.1% | epoch: 1 | remaining: 286s    
step 00043 (4.7%) | loss: 5.221668 | lrm: 1.00 | dt: 481ms | tok/sec: 1,089,661 | mfu: 4.3% | epoch: 1 | remaining: 285s    
step 00044 (4.8%) | loss: 5.193876 | lrm: 1.00 | dt: 464ms | tok/sec: 1,130,985 | mfu: 4.5% | epoch: 1 | remaining: 285s    
step 00045 (5.0%) | loss: 5.174136 | lrm: 1.00 | dt: 482ms | tok/sec: 1,088,831 | mfu: 4.3% | epoch: 1 | remaining: 285s    
step 00046 (5.2%) | loss: 5.145057 | lrm: 1.00 | dt: 427ms | tok/sec: 1,227,110 | mfu: 4.9% | epoch: 1 | remaining: 284s    
step 00047 (5.3%) | loss: 5.119777 | lrm: 1.00 | dt: 563ms | tok/sec: 931,422 | mfu: 3.7% | epoch: 1 | remaining: 284s    
step 00048 (5.5%) | loss: 5.101361 | lrm: 1.00 | dt: 640ms | tok/sec: 819,779 | mfu: 3.3% | epoch: 1 | remaining: 283s    
step 00049 (5.7%) | loss: 5.073491 | lrm: 1.00 | dt: 427ms | tok/sec: 1,227,732 | mfu: 4.9% | epoch: 1 | remaining: 282s    
step 00050 (5.8%) | loss: 5.051655 | lrm: 1.00 | dt: 452ms | tok/sec: 1,160,098 | mfu: 4.6% | epoch: 1 | remaining: 282s    
step 00051 (6.0%) | loss: 5.035624 | lrm: 1.00 | dt: 578ms | tok/sec: 906,361 | mfu: 3.6% | epoch: 1 | remaining: 281s    
step 00052 (6.2%) | loss: 5.010185 | lrm: 1.00 | dt: 554ms | tok/sec: 946,920 | mfu: 3.8% | epoch: 1 | remaining: 281s    
step 00053 (6.4%) | loss: 4.992685 | lrm: 1.00 | dt: 460ms | tok/sec: 1,139,505 | mfu: 4.5% | epoch: 1 | remaining: 280s    
step 00054 (6.5%) | loss: 4.974100 | lrm: 1.00 | dt: 496ms | tok/sec: 1,057,663 | mfu: 4.2% | epoch: 1 | remaining: 280s    
step 00055 (6.7%) | loss: 4.957533 | lrm: 1.00 | dt: 563ms | tok/sec: 930,925 | mfu: 3.7% | epoch: 1 | remaining: 279s    
step 00056 (6.9%) | loss: 4.935378 | lrm: 1.00 | dt: 619ms | tok/sec: 846,425 | mfu: 3.4% | epoch: 1 | remaining: 279s    
step 00057 (7.1%) | loss: 4.921531 | lrm: 1.00 | dt: 484ms | tok/sec: 1,082,387 | mfu: 4.3% | epoch: 1 | remaining: 278s    
step 00058 (7.2%) | loss: 4.896367 | lrm: 1.00 | dt: 455ms | tok/sec: 1,153,268 | mfu: 4.6% | epoch: 1 | remaining: 278s    
step 00059 (7.4%) | loss: 4.864284 | lrm: 1.00 | dt: 547ms | tok/sec: 959,176 | mfu: 3.8% | epoch: 1 | remaining: 277s    
step 00060 (7.6%) | loss: 4.847613 | lrm: 1.00 | dt: 468ms | tok/sec: 1,120,138 | mfu: 4.5% | epoch: 1 | remaining: 277s    
step 00061 (7.7%) | loss: 4.825996 | lrm: 1.00 | dt: 461ms | tok/sec: 1,138,417 | mfu: 4.5% | epoch: 1 | remaining: 276s    
step 00062 (7.9%) | loss: 4.814300 | lrm: 1.00 | dt: 529ms | tok/sec: 991,312 | mfu: 3.9% | epoch: 1 | remaining: 276s    
step 00063 (8.1%) | loss: 4.799422 | lrm: 1.00 | dt: 546ms | tok/sec: 960,197 | mfu: 3.8% | epoch: 1 | remaining: 275s    
step 00064 (8.2%) | loss: 4.788844 | lrm: 1.00 | dt: 470ms | tok/sec: 1,115,531 | mfu: 4.4% | epoch: 1 | remaining: 275s    
step 00065 (8.4%) | loss: 4.761848 | lrm: 1.00 | dt: 473ms | tok/sec: 1,109,498 | mfu: 4.4% | epoch: 1 | remaining: 274s    
step 00066 (8.6%) | loss: 4.745231 | lrm: 1.00 | dt: 425ms | tok/sec: 1,234,712 | mfu: 4.9% | epoch: 1 | remaining: 274s    
step 00067 (8.7%) | loss: 4.726503 | lrm: 1.00 | dt: 414ms | tok/sec: 1,266,411 | mfu: 5.0% | epoch: 1 | remaining: 273s    
step 00068 (8.8%) | loss: 4.719128 | lrm: 1.00 | dt: 421ms | tok/sec: 1,245,590 | mfu: 4.9% | epoch: 1 | remaining: 273s    
step 00069 (9.0%) | loss: 4.709843 | lrm: 1.00 | dt: 406ms | tok/sec: 1,290,584 | mfu: 5.1% | epoch: 1 | remaining: 273s    
step 00070 (9.1%) | loss: 4.692231 | lrm: 1.00 | dt: 388ms | tok/sec: 1,352,669 | mfu: 5.4% | epoch: 1 | remaining: 272s    
step 00071 (9.2%) | loss: 4.673435 | lrm: 1.00 | dt: 437ms | tok/sec: 1,200,018 | mfu: 4.8% | epoch: 1 | remaining: 272s    
step 00072 (9.4%) | loss: 4.653603 | lrm: 1.00 | dt: 428ms | tok/sec: 1,225,837 | mfu: 4.9% | epoch: 1 | remaining: 271s    
step 00073 (9.5%) | loss: 4.629566 | lrm: 1.00 | dt: 409ms | tok/sec: 1,281,416 | mfu: 5.1% | epoch: 1 | remaining: 271s    
step 00074 (9.7%) | loss: 4.611107 | lrm: 1.00 | dt: 389ms | tok/sec: 1,348,232 | mfu: 5.4% | epoch: 1 | remaining: 271s    
step 00075 (9.8%) | loss: 4.595541 | lrm: 1.00 | dt: 377ms | tok/sec: 1,390,870 | mfu: 5.5% | epoch: 1 | remaining: 270s    
step 00076 (9.9%) | loss: 4.575722 | lrm: 1.00 | dt: 480ms | tok/sec: 1,091,838 | mfu: 4.3% | epoch: 1 | remaining: 270s    
step 00077 (10.1%) | loss: 4.562765 | lrm: 1.00 | dt: 422ms | tok/sec: 1,243,440 | mfu: 4.9% | epoch: 1 | remaining: 269s    
step 00078 (10.2%) | loss: 4.540418 | lrm: 1.00 | dt: 400ms | tok/sec: 1,311,217 | mfu: 5.2% | epoch: 1 | remaining: 269s    
step 00079 (10.4%) | loss: 4.533666 | lrm: 1.00 | dt: 415ms | tok/sec: 1,262,044 | mfu: 5.0% | epoch: 1 | remaining: 269s    
step 00080 (10.5%) | loss: 4.517879 | lrm: 1.00 | dt: 433ms | tok/sec: 1,211,361 | mfu: 4.8% | epoch: 1 | remaining: 268s    
step 00081 (10.6%) | loss: 4.495609 | lrm: 1.00 | dt: 381ms | tok/sec: 1,377,288 | mfu: 5.5% | epoch: 1 | remaining: 268s    
step 00082 (10.8%) | loss: 4.478883 | lrm: 1.00 | dt: 390ms | tok/sec: 1,344,836 | mfu: 5.3% | epoch: 1 | remaining: 267s    
step 00083 (10.9%) | loss: 4.466012 | lrm: 1.00 | dt: 386ms | tok/sec: 1,357,618 | mfu: 5.4% | epoch: 1 | remaining: 267s    
step 00084 (11.0%) | loss: 4.450839 | lrm: 1.00 | dt: 418ms | tok/sec: 1,255,530 | mfu: 5.0% | epoch: 1 | remaining: 266s    
step 00085 (11.2%) | loss: 4.441524 | lrm: 1.00 | dt: 433ms | tok/sec: 1,211,878 | mfu: 4.8% | epoch: 1 | remaining: 266s    
step 00086 (11.3%) | loss: 4.424163 | lrm: 1.00 | dt: 451ms | tok/sec: 1,163,144 | mfu: 4.6% | epoch: 1 | remaining: 266s    
step 00087 (11.5%) | loss: 4.405467 | lrm: 1.00 | dt: 376ms | tok/sec: 1,393,499 | mfu: 5.5% | epoch: 1 | remaining: 265s    
step 00088 (11.6%) | loss: 4.386573 | lrm: 1.00 | dt: 450ms | tok/sec: 1,164,112 | mfu: 4.6% | epoch: 1 | remaining: 265s    
step 00089 (11.7%) | loss: 4.370112 | lrm: 1.00 | dt: 413ms | tok/sec: 1,268,645 | mfu: 5.0% | epoch: 1 | remaining: 264s    
step 00090 (11.9%) | loss: 4.359627 | lrm: 1.00 | dt: 417ms | tok/sec: 1,258,650 | mfu: 5.0% | epoch: 1 | remaining: 264s    
step 00091 (12.0%) | loss: 4.344086 | lrm: 1.00 | dt: 402ms | tok/sec: 1,304,995 | mfu: 5.2% | epoch: 1 | remaining: 264s    
step 00092 (12.1%) | loss: 4.329596 | lrm: 1.00 | dt: 380ms | tok/sec: 1,380,878 | mfu: 5.5% | epoch: 1 | remaining: 263s    
step 00093 (12.3%) | loss: 4.315459 | lrm: 1.00 | dt: 395ms | tok/sec: 1,327,959 | mfu: 5.3% | epoch: 1 | remaining: 263s    
step 00094 (12.4%) | loss: 4.301419 | lrm: 1.00 | dt: 382ms | tok/sec: 1,371,861 | mfu: 5.5% | epoch: 1 | remaining: 262s    
step 00095 (12.5%) | loss: 4.292901 | lrm: 1.00 | dt: 373ms | tok/sec: 1,403,784 | mfu: 5.6% | epoch: 1 | remaining: 262s    
step 00096 (12.7%) | loss: 4.278727 | lrm: 1.00 | dt: 384ms | tok/sec: 1,364,680 | mfu: 5.4% | epoch: 1 | remaining: 262s    
step 00097 (12.8%) | loss: 4.260260 | lrm: 1.00 | dt: 395ms | tok/sec: 1,327,919 | mfu: 5.3% | epoch: 1 | remaining: 261s    
step 00098 (12.9%) | loss: 4.251903 | lrm: 1.00 | dt: 408ms | tok/sec: 1,284,732 | mfu: 5.1% | epoch: 1 | remaining: 261s    
step 00099 (13.1%) | loss: 4.241650 | lrm: 1.00 | dt: 387ms | tok/sec: 1,354,749 | mfu: 5.4% | epoch: 1 | remaining: 260s    
step 00100 (13.2%) | loss: 4.232543 | lrm: 1.00 | dt: 468ms | tok/sec: 1,119,235 | mfu: 4.4% | epoch: 1 | remaining: 260s    
step 00101 (13.3%) | loss: 4.216452 | lrm: 1.00 | dt: 543ms | tok/sec: 965,424 | mfu: 3.8% | epoch: 1 | remaining: 259s    
step 00102 (13.5%) | loss: 4.200022 | lrm: 1.00 | dt: 536ms | tok/sec: 978,325 | mfu: 3.9% | epoch: 1 | remaining: 259s    
step 00103 (13.7%) | loss: 4.187554 | lrm: 1.00 | dt: 442ms | tok/sec: 1,187,364 | mfu: 4.7% | epoch: 1 | remaining: 258s    
step 00104 (13.8%) | loss: 4.167514 | lrm: 1.00 | dt: 535ms | tok/sec: 979,958 | mfu: 3.9% | epoch: 1 | remaining: 258s    
step 00105 (14.0%) | loss: 4.166013 | lrm: 1.00 | dt: 559ms | tok/sec: 937,607 | mfu: 3.7% | epoch: 1 | remaining: 257s    
step 00106 (14.2%) | loss: 4.159397 | lrm: 1.00 | dt: 495ms | tok/sec: 1,059,650 | mfu: 4.2% | epoch: 1 | remaining: 257s    
step 00107 (14.4%) | loss: 4.140902 | lrm: 1.00 | dt: 489ms | tok/sec: 1,071,215 | mfu: 4.3% | epoch: 1 | remaining: 256s    
step 00108 (14.5%) | loss: 4.129027 | lrm: 1.00 | dt: 652ms | tok/sec: 804,024 | mfu: 3.2% | epoch: 1 | remaining: 256s    
step 00109 (14.8%) | loss: 4.111457 | lrm: 1.00 | dt: 541ms | tok/sec: 969,472 | mfu: 3.9% | epoch: 1 | remaining: 255s    
step 00110 (14.9%) | loss: 4.106012 | lrm: 1.00 | dt: 477ms | tok/sec: 1,098,950 | mfu: 4.4% | epoch: 1 | remaining: 255s    
step 00111 (15.1%) | loss: 4.098801 | lrm: 1.00 | dt: 522ms | tok/sec: 1,004,639 | mfu: 4.0% | epoch: 1 | remaining: 254s    
step 00112 (15.3%) | loss: 4.089565 | lrm: 1.00 | dt: 498ms | tok/sec: 1,053,660 | mfu: 4.2% | epoch: 1 | remaining: 254s    
step 00113 (15.4%) | loss: 4.079550 | lrm: 1.00 | dt: 540ms | tok/sec: 970,944 | mfu: 3.9% | epoch: 1 | remaining: 253s    
step 00114 (15.6%) | loss: 4.062519 | lrm: 1.00 | dt: 487ms | tok/sec: 1,076,534 | mfu: 4.3% | epoch: 1 | remaining: 253s    
step 00115 (15.8%) | loss: 4.061767 | lrm: 1.00 | dt: 426ms | tok/sec: 1,229,349 | mfu: 4.9% | epoch: 1 | remaining: 252s    
step 00116 (15.9%) | loss: 4.049038 | lrm: 1.00 | dt: 398ms | tok/sec: 1,317,920 | mfu: 5.2% | epoch: 1 | remaining: 252s    
step 00117 (16.1%) | loss: 4.045583 | lrm: 1.00 | dt: 500ms | tok/sec: 1,048,637 | mfu: 4.2% | epoch: 1 | remaining: 251s    
step 00118 (16.2%) | loss: 4.040120 | lrm: 1.00 | dt: 445ms | tok/sec: 1,177,789 | mfu: 4.7% | epoch: 1 | remaining: 251s    
step 00119 (16.4%) | loss: 4.030514 | lrm: 1.00 | dt: 461ms | tok/sec: 1,137,547 | mfu: 4.5% | epoch: 1 | remaining: 250s    
step 00120 (16.5%) | loss: 4.023235 | lrm: 1.00 | dt: 400ms | tok/sec: 1,309,253 | mfu: 5.2% | epoch: 1 | remaining: 250s    
step 00121 (16.7%) | loss: 4.008972 | lrm: 1.00 | dt: 447ms | tok/sec: 1,173,417 | mfu: 4.7% | epoch: 1 | remaining: 250s    
step 00122 (16.8%) | loss: 3.996881 | lrm: 1.00 | dt: 482ms | tok/sec: 1,086,765 | mfu: 4.3% | epoch: 1 | remaining: 249s    
step 00123 (17.0%) | loss: 3.992898 | lrm: 1.00 | dt: 416ms | tok/sec: 1,261,349 | mfu: 5.0% | epoch: 1 | remaining: 249s    
step 00124 (17.1%) | loss: 3.991664 | lrm: 1.00 | dt: 480ms | tok/sec: 1,091,158 | mfu: 4.3% | epoch: 1 | remaining: 248s    
step 00125 (17.3%) | loss: 3.984973 | lrm: 1.00 | dt: 440ms | tok/sec: 1,192,167 | mfu: 4.7% | epoch: 1 | remaining: 248s    
step 00126 (17.4%) | loss: 3.972467 | lrm: 1.00 | dt: 499ms | tok/sec: 1,051,177 | mfu: 4.2% | epoch: 1 | remaining: 247s    
step 00127 (17.6%) | loss: 3.964877 | lrm: 1.00 | dt: 434ms | tok/sec: 1,208,022 | mfu: 4.8% | epoch: 1 | remaining: 247s    
step 00128 (17.7%) | loss: 3.951906 | lrm: 1.00 | dt: 438ms | tok/sec: 1,198,078 | mfu: 4.8% | epoch: 1 | remaining: 246s    
step 00129 (17.9%) | loss: 3.936496 | lrm: 1.00 | dt: 498ms | tok/sec: 1,053,508 | mfu: 4.2% | epoch: 1 | remaining: 246s    
step 00130 (18.0%) | loss: 3.926600 | lrm: 1.00 | dt: 564ms | tok/sec: 929,369 | mfu: 3.7% | epoch: 1 | remaining: 245s    
step 00131 (18.2%) | loss: 3.923472 | lrm: 1.00 | dt: 435ms | tok/sec: 1,205,834 | mfu: 4.8% | epoch: 1 | remaining: 245s    
step 00132 (18.4%) | loss: 3.915574 | lrm: 1.00 | dt: 365ms | tok/sec: 1,435,141 | mfu: 5.7% | epoch: 1 | remaining: 245s    
step 00133 (18.5%) | loss: 3.899087 | lrm: 1.00 | dt: 544ms | tok/sec: 964,184 | mfu: 3.8% | epoch: 1 | remaining: 244s    
step 00134 (18.7%) | loss: 3.892155 | lrm: 1.00 | dt: 623ms | tok/sec: 841,911 | mfu: 3.3% | epoch: 1 | remaining: 243s    
step 00135 (18.9%) | loss: 3.887237 | lrm: 1.00 | dt: 392ms | tok/sec: 1,336,812 | mfu: 5.3% | epoch: 1 | remaining: 243s    
step 00136 (19.0%) | loss: 3.870901 | lrm: 1.00 | dt: 407ms | tok/sec: 1,288,276 | mfu: 5.1% | epoch: 1 | remaining: 243s    
step 00137 (19.1%) | loss: 3.874708 | lrm: 1.00 | dt: 516ms | tok/sec: 1,015,136 | mfu: 4.0% | epoch: 1 | remaining: 242s    
step 00138 (19.3%) | loss: 3.875589 | lrm: 1.00 | dt: 627ms | tok/sec: 835,638 | mfu: 3.3% | epoch: 1 | remaining: 241s    
step 00139 (19.5%) | loss: 3.863506 | lrm: 1.00 | dt: 509ms | tok/sec: 1,030,528 | mfu: 4.1% | epoch: 1 | remaining: 241s    
step 00140 (19.7%) | loss: 3.857725 | lrm: 1.00 | dt: 418ms | tok/sec: 1,253,864 | mfu: 5.0% | epoch: 1 | remaining: 240s    
step 00141 (19.8%) | loss: 3.844109 | lrm: 1.00 | dt: 502ms | tok/sec: 1,043,879 | mfu: 4.1% | epoch: 1 | remaining: 240s    
step 00142 (20.0%) | loss: 3.841790 | lrm: 1.00 | dt: 567ms | tok/sec: 924,311 | mfu: 3.7% | epoch: 1 | remaining: 239s    
step 00143 (20.2%) | loss: 3.831758 | lrm: 1.00 | dt: 490ms | tok/sec: 1,069,153 | mfu: 4.2% | epoch: 1 | remaining: 239s    
step 00144 (20.4%) | loss: 3.822908 | lrm: 1.00 | dt: 484ms | tok/sec: 1,083,119 | mfu: 4.3% | epoch: 1 | remaining: 238s    
step 00145 (20.5%) | loss: 3.817564 | lrm: 1.00 | dt: 569ms | tok/sec: 921,958 | mfu: 3.7% | epoch: 1 | remaining: 238s    
step 00146 (20.7%) | loss: 3.820566 | lrm: 1.00 | dt: 487ms | tok/sec: 1,076,276 | mfu: 4.3% | epoch: 1 | remaining: 237s    
step 00147 (20.9%) | loss: 3.825175 | lrm: 1.00 | dt: 445ms | tok/sec: 1,179,293 | mfu: 4.7% | epoch: 1 | remaining: 237s    
step 00148 (21.0%) | loss: 3.823592 | lrm: 1.00 | dt: 389ms | tok/sec: 1,347,951 | mfu: 5.4% | epoch: 1 | remaining: 237s    
step 00149 (21.1%) | loss: 3.826323 | lrm: 1.00 | dt: 413ms | tok/sec: 1,268,673 | mfu: 5.0% | epoch: 1 | remaining: 236s    
step 00150 (21.3%) | loss: 3.814923 | lrm: 1.00 | dt: 427ms | tok/sec: 1,228,221 | mfu: 4.9% | epoch: 1 | remaining: 236s    
step 00151 (21.4%) | loss: 3.812564 | lrm: 1.00 | dt: 394ms | tok/sec: 1,330,722 | mfu: 5.3% | epoch: 1 | remaining: 235s    
step 00152 (21.6%) | loss: 3.810099 | lrm: 1.00 | dt: 394ms | tok/sec: 1,331,490 | mfu: 5.3% | epoch: 1 | remaining: 235s    
